Name,NA,EU,JP,Other
Ben 10 Galactic Racing,0.07,0.06,0,0.01
Sentou Kokka Air Land Battle,0,0,0.13,0.01
NTRA Breeders' Cup World Thoroughbred Championships,0.07,0.05,0,0.02
Tak 2: The Staff of Dreams,0.1,0.03,0,0
Hulk Hogan's Main Event,0.1,0.02,0,0.01
Transformers: Devastation,0.09,0.03,0,0.01
Euro Truck Simulator 2,0,0.12,0,0.02
DmC: Devil May Cry,0.08,0.04,0,0.01
WipeOut 3 The Game,0.12,0,0,0.01
Ys: The Ark of Napishtim,0.07,0.05,0,0.02
Peter Jackson's King Kong: The Official Game of the Movie,0.12,0,0,0.01
Brain Assist,0.12,0,0,0.01
Azure Dreams,0.07,0.05,0,0.01
Rumble Roses XX,0.07,0.01,0.04,0.01
Space Camp,0.12,0,0,0.01
SingStar Latino,0.07,0.05,0,0.02
Bakugan: Battle Trainer,0.12,0,0,0.01
Phantom Brave: We Meet Again,0.12,0,0.01,0.01
Monster Rancher DS,0.08,0,0.05,0.01
Kurt Warner's Arena Football Unleashed,0.07,0.05,0,0.01
Suite PreCure: Melody Collection,0,0,0.13,0
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon,0.07,0.05,0,0.02
NHL 2K9,0.07,0.05,0,0.02
Venetica,0.09,0.03,0,0.01
Disney's Kim Possible: Kimmunicator,0.11,0.01,0,0.01
James Bond 007: Legends,0.07,0.05,0,0.01
Rogue Ops,0.1,0.03,0,0
NBA Hoopz,0.07,0.05,0,0.01
Transworld Surf,0.1,0.03,0,0
Rugby 15,0.02,0.09,0,0.02
MLB 11: The Show,0.06,0.05,0,0.02
Castrol Honda Superbike Racing,0.07,0.05,0,0.01
History Civil War: Secret Missions,0.12,0,0,0.01
Army Men: Green Rogue,0.06,0.05,0,0.02
My Spanish Coach,0.12,0,0,0.01
Chessmaster,0.1,0.03,0,0
Over the Hedge: Hammy Goes Nuts!,0.12,0,0,0.01
Fatal Inertia,0.12,0,0,0.01
Superman: The Man of Steel,0.1,0.03,0,0
Ken to Mahou to Gakuen Mono. 3,0,0,0.13,0
Greg Hastings Paintball 2,0.12,0,0,0.01
The Flintstones: Bedrock Bowling,0.07,0.05,0,0.01
Teenage Mutant Ninja Turtles: Danger of the Ooze,0.08,0.04,0,0.01
NHL 2003,0.1,0.03,0,0
Chicken Run,0.07,0.05,0,0.01
Scene It? Bright Lights! Big Screen!,0.1,0.01,0,0.01
My Baby: First Steps,0.12,0,0,0.01
Pro Baseball Spirits 2015,0,0,0.13,0
Shining Force III,0,0,0.13,0
Jikkyou Powerful Pro Yakyuu 2011 Ketteiban,0,0,0.13,0
Tales of the Heroes: Twin Brave,0,0,0.13,0
WWE Survivor Series,0.09,0.04,0,0
Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS 2,0,0,0.13,0
Super Robot Wars BX,0,0,0.13,0
Persona 4: Arena,0.08,0.02,0.03,0.01
Tomb Raider: Legend,0.1,0.03,0,0
Nagano Winter Olympics '98,0.07,0.05,0,0.01
Destroy All Humans! Path of the Furon,0.08,0.04,0,0.01
Winning Post 5,0,0,0.13,0
Star Wars: Lethal Alliance,0.11,0.01,0,0.01
Midnight Mysteries: The Edgar Allan Poe Conspiracy,0.08,0.04,0,0.01
All Star Cheer Squad 2,0.12,0,0,0.01
Frogger Beyond,0.1,0.03,0,0
RPG Maker II,0.06,0.05,0,0.02
Resident Evil: Revelations 2,0.01,0.05,0.06,0.01
SpongeBob's Surf & Skate Roadtrip,0.11,0.02,0,0.01
Destruction Derby Arenas,0.06,0.05,0,0.02
Cabela's Dangerous Hunts 2009,0.12,0,0,0.01
The Unholy War,0.07,0.05,0,0.01
Chuck E. Cheese's Game Room,0.12,0,0,0.01
Wantame Music Channel: Doko Demo Style,0,0,0.13,0
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,0.09,0.03,0,0
Shaman King: Power of Spirit,0.06,0.05,0,0.02
Eat Lead: The Return of Matt Hazard,0.09,0.02,0,0.01
Attack on Titan (KOEI),0,0,0.13,0
Soccer Tsuku DS: World Challenge 2010,0,0,0.13,0
Family Fortunes,0,0.12,0,0.01
Megamind: The Blue Defender,0.08,0.03,0,0.02
Contra III: The Alien Wars,0,0,0.13,0
Dead to Rights: Reckoning,0.12,0,0,0.01
The BIGS 2,0.12,0,0,0.01
Slime MoriMori Dragon Quest 3: Taikaizoku to Shippo Dan,0,0,0.13,0
Amagami,0,0,0.13,0
Diablo II,0.01,0.09,0,0.02
How to Train Your Dragon 2,0.03,0.08,0,0.02
NBA 08,0.12,0,0,0.01
The Smurfs 2,0.03,0.09,0,0.01
NeverDead,0.06,0.04,0.01,0.02
No Fear Downhill Mountain Biking,0.07,0.05,0,0.01
Fire ProWrestling,0.09,0.03,0,0
Mission: Impossible - Operation Surma,0.1,0.03,0,0
Naruto Shippuden: Kizuna Drive,0.04,0.02,0.05,0.02
The IdolM@ster: One for All,0,0,0.13,0
MX 2002 Featuring Ricky Carmichael,0.1,0.03,0,0
Indianapolis 500 Legends,0.12,0,0,0.01
Romance of the Three Kingdoms IV: Wall of Fire,0.05,0.03,0.04,0.01
Illusion of Gaia,0,0,0.13,0
Steel Battalion: Heavy Armor,0.08,0.03,0.02,0.01
Academy of Champions: Soccer,0.1,0.02,0,0.01
Mega Man Anniversary Collection,0.1,0.03,0,0
Disney Princess: Enchanting Storybooks,0.08,0.04,0,0.01
Sally's Salon,0.12,0,0,0.01
The Oregon Trail,0.12,0,0,0.01
Disruptor,0.07,0.05,0,0.01
NBA Ballers: Chosen One,0.12,0,0,0.01
Lovely Lisa and Friends,0.12,0,0,0.01
Hasbro Family Fun Pack,0.1,0.02,0,0.01
Shrek Smash n' Crash Racing,0.1,0.03,0,0
Under Night In-Birth,0.06,0.02,0.04,0.02
Drakengard 2,0.06,0.05,0,0.02
Street Fighter IV,0.07,0.04,0,0.02
Grand Knights History,0,0,0.13,0
Summon Night: Twin Age,0.07,0,0.05,0.01
Sin and Punishment,0,0,0.13,0
NBA Jam 2000,0.12,0.01,0,0
Castlevania: Legacy of Darkness,0.06,0.02,0.05,0
Just Dance: Disney Party,0.01,0.1,0,0.02
Cabela's Alaskan Adventure,0.12,0,0,0.01
Rango: The Video Game,0.06,0.06,0,0.01
Shrek Super Party,0.1,0.03,0,0
Sonic Riders,0.1,0.03,0,0
Shimano Xtreme Fishing,0.12,0,0,0.01
The History Channel: Great Battles - Medieval,0.08,0.04,0,0.01
TRON: Evolution,0.09,0.02,0,0.02
Rally Fusion: Race of Champions,0.06,0.05,0,0.02
Barbie and the Three Musketeers,0.12,0,0,0.01
Secret Agent Clank,0.04,0.03,0.04,0.02
The House of the Dead,0,0,0.13,0
DreamWorks Super Star Kartz,0.09,0.03,0,0.01
RealSports Volleyball,0.12,0.01,0,0
Heroes of the Pacific,0.1,0.03,0,0
Smart Boy's Gameroom,0.12,0,0,0.01
NightCaster,0.1,0.03,0,0
RollerCoaster Tycoon,0.1,0.03,0,0
FIFA World Cup Germany 2006,0.1,0.03,0,0
Hitman 2: Silent Assassin,0.1,0.03,0,0
MLB 13: The Show,0.11,0,0,0.02
Nicktoons: MLB,0.12,0,0,0.01
Digimon Racing,0.09,0.03,0,0
Ape Escape 3,0.06,0.05,0,0.02
Green Lantern: Rise of the Manhunters,0.07,0.05,0,0.01
"Crouching Tiger, Hidden Dragon",0.06,0.05,0,0.02
Last Bronx,0,0,0.13,0
Iridion II,0.09,0.03,0,0
Momotaro Douchuuki,0,0,0.13,0
Brothers: A Tale of Two Sons,0.03,0.08,0,0.02
Tom Clancy's Splinter Cell: Double Agent,0.1,0.01,0,0.01
Whiplash,0.06,0.05,0,0.02
BlazBlue: Continuum Shift II,0.03,0.02,0.07,0.01
Backyard Sports Football: Rookie Rush,0.12,0,0,0.01
Warcraft III: Reign of Chaos,0.03,0.08,0,0.02
Farming Simulator 2011,0,0.13,0,0
Margot's Word Brain,0.12,0,0,0.01
Spider-Man: Battle for New York,0.12,0,0,0.01
Imagine: Fashion Designer,0.1,0.02,0,0.01
Pop'n Music Portable,0,0,0.13,0
Nintendo Puzzle Collection,0,0,0.13,0
Borderlands: Double Game Add-On Pack,0.1,0.02,0,0.01
Otogi: Myth of Demons,0.08,0.02,0.03,0
The Price is Right 2010 Edition,0.12,0,0,0.01
Army Men: Soldiers of Misfortune,0.12,0,0,0.01
Alter Echo,0.06,0.05,0,0.02
Walt Disney Pictures Presents: The Wild,0.09,0.03,0,0
Puzzle de Harvest Moon,0.12,0,0,0.01
Reader Rabbit Kindergarten,0.12,0,0,0.01
Onechanbara: Bikini Samurai Squad,0.11,0.01,0,0.01
Metal Max 3,0,0,0.13,0
Rock Band Track Pack Volume 1,0.06,0.05,0,0.02
Puyo Puyo!! 20th Anniversary,0,0,0.13,0
Hour of Victory,0.1,0.01,0,0.01
Namco Soccer Prime Goal,0,0,0.12,0.01
NBA 08,0.06,0.05,0,0.02
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,0,0,0.13,0
Monster Hunter Frontier Online,0,0,0.13,0
Green Lantern: Rise of the Manhunters,0.09,0.03,0,0.01
Shin Megami Tensei: Digital Devil Saga,0.06,0.05,0,0.02
7 Wonders of the Ancient World,0.1,0.01,0,0.01
Backyard Baseball '09,0.12,0,0,0.01
Puppies 3D,0.08,0.04,0,0.01
Jissen Pachi-Slot Hisshouhou! Aladdin II Evolution,0,0,0.13,0
Mystic Ark,0,0,0.13,0
Just Cause 2,0,0.1,0,0.03
Ty the Tasmanian Tiger 2: Bush Rescue,0.09,0.03,0,0
Venetica,0.07,0.04,0,0.02
Teenage Mutant Ninja Turtles 2: Battle Nexus,0.1,0.03,0,0
LEGO Racers 2,0.06,0.05,0,0.02
Backyard Baseball,0.1,0.03,0,0
Transformers: War for Cybertron -- Decepticons,0.11,0.01,0,0.01
Overlord: Raising Hell,0.07,0.04,0,0.02
Sega GT,0,0,0.13,0
Fuse (Insomniac),0.08,0.04,0,0.01
Cabela's Dangerous Hunts 2009,0.12,0,0,0.01
Legends of Wrestling,0.1,0.03,0,0
Space Bust-A-Move,0.1,0.02,0,0.01
Legend of the Guardians: The Owls of Ga'Hoole,0.11,0.01,0,0.01
Gunstar Heroes,0,0,0.13,0
All-Star Baseball 2004,0.1,0.03,0,0
Tamagotchi no Pichi Pichi Omisecchi,0,0,0.13,0
Shining Wind,0,0,0.13,0
Brothers in Arms: Double Time,0.11,0,0,0.01
Portal Runner,0.06,0.05,0,0.02
Pokémon: For Ho-Oh the Bells Toll!: Game Boy Advance Video,0.09,0.03,0,0
Pro Evolution Soccer 2016,0.04,0.08,0,0.01
Batman: Arkham Knight,0.08,0.03,0,0.01
Warriors Orochi 2,0.06,0.05,0,0.02
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,0.06,0.05,0,0.02
Need for Speed: ProStreet,0.11,0.01,0,0.01
Assault: Retribution,0.07,0.05,0,0.01
Sengoku Basara 3 Utage,0,0,0.13,0
Spartan: Total Warrior,0.1,0.03,0,0
Gravity Rush Remastered,0.02,0.05,0.04,0.01
Rock Band Track Pack Volume 2,0.11,0,0,0.01
City Crisis,0.06,0.05,0,0.02
Zapper: One Wicked Cricket!,0.1,0.03,0,0
Star Wars: Clone Wars,0.1,0.03,0,0
Assassination Classroom: Grand Siege on Kuro-sensei,0,0,0.13,0
Dynasty Warriors 5 Empires,0.11,0.01,0,0.01
High Rollers Casino,0.1,0.03,0,0
Advent Rising,0.1,0.03,0,0
Surf Riders,0.07,0.05,0,0.01
Torino 2006,0.06,0.05,0,0.02
Nobunaga no Yabou: Ranseiki,0,0,0.13,0
Derby Stallion Advance,0,0,0.12,0
PBR: Out of the Chute,0.12,0,0,0.01
Monopoly Party,0.1,0.03,0,0
LEGO Batman 2: DC Super Heroes,0.05,0.07,0,0.01
Thor: God of Thunder,0.09,0.03,0,0.01
TOCA Race Driver 2: Ultimate Racing Simulator,0.09,0.03,0,0
The Price is Right: Decades,0.12,0,0,0.01
Snood,0.09,0.03,0,0
The Sky Crawlers: Innocent Aces,0.09,0.02,0.01,0.01
Avatar: The Last Airbender - Into the Inferno,0.11,0.01,0,0.01
Fit in Six,0.12,0,0,0.01
Monster Jam: Urban Assault,0.06,0.05,0,0.02
Ice Age: Dawn of the Dinosaurs,0.09,0.03,0,0.01
DT Racer,0.06,0.05,0,0.02
SimAnimals Africa,0.1,0.01,0,0.01
Deepak Chopra's Leela,0.07,0.05,0,0.01
Twister Mania,0.1,0.01,0,0.01
World Cup Golf: Professional Edition,0.07,0.05,0,0.01
Black Dawn,0.07,0.05,0,0.01
Soccer Tsuku: Pro Soccer Club o Tsukurou!,0,0,0.13,0
428: Fuusa Sareta Shibuya de,0,0,0.13,0
Kelly Slater's Pro Surfer,0.09,0.03,0,0
Warriors of Might and Magic,0.07,0.05,0,0.01
Drome Racers,0.06,0.05,0,0.02
X-Men: Next Dimension,0.1,0.03,0,0
Impossible Mission,0.12,0,0,0.01
NCIS,0.07,0.04,0,0.02
Cabela's Dangerous Hunts 2011,0.12,0,0,0.01
Garfield's Fun Fest,0.07,0.04,0,0.01
7th Dragon 2020-II,0,0,0.13,0
Doukyuusei 2,0,0,0.13,0
SkullMonkeys,0.07,0.05,0,0.01
Cloudy With a Chance of Meatballs,0.11,0,0,0.01
Burnout,0.09,0.03,0,0
Zenses: Ocean,0.11,0.01,0,0.01
Ben 10 Galactic Racing,0.08,0.03,0,0.01
Teenage Mutant Ninja Turtles: Arcade Attack,0.12,0,0,0.01
Baroque,0.05,0.04,0.02,0.01
Left Brain Right Brain 2,0.12,0,0,0.01
Dynasty Warriors: Gundam Reborn,0,0,0.13,0
Kidz Sports: Crazy Golf,0.11,0,0,0.01
Little Battlers eXperience: Wars,0,0,0.13,0
Victorious: Time to Shine,0.12,0,0,0.01
NBA Ballers: Phenom,0.09,0.03,0,0
Aikatsu! 365 Idol Days,0,0,0.13,0
Petz Puppyz & Kittenz,0.12,0,0,0.01
Crash Tag Team Racing,0.09,0.03,0,0
Freedom Fighters,0.1,0.03,0,0
The Stronghold Collection,0.03,0.08,0,0.02
Operation Abyss: New Tokyo Legacy,0.04,0.01,0.06,0.02
Transformer: Rise of the Dark Spark,0.04,0.05,0.01,0.02
Mega Man X Collection,0.1,0.03,0,0
Detana TwinBee Yahho! Deluxe Pack,0,0,0.13,0
Dragon Ball: Origins,0.09,0.03,0,0.01
Last Ranker,0,0,0.13,0
Quantum Redshift,0.09,0.03,0,0
Smash Court Tennis Pro Tournament 2,0.06,0.05,0,0.02
Eat Lead: The Return of Matt Hazard,0.1,0.01,0,0.01
Battleborn,0.08,0.04,0,0.01
Legends of Wrestling II,0.09,0.03,0,0
Power Pro Kun Pocket 13,0,0,0.13,0
Armed and Dangerous,0.09,0.03,0,0
Jurassic: The Hunted,0.12,0,0,0.01
Adventures to Go!,0.1,0,0.01,0.01
Conduit 2,0.07,0.04,0,0.01
Supremacy MMA,0.06,0.04,0,0.02
World Soccer Winning Eleven 2002,0,0,0.12,0.01
Geometry Wars: Galaxies,0.11,0,0,0.01
Actua Tennis,0.07,0.05,0,0.01
Horse Life,0.09,0.02,0,0.01
Monster Truck Madness,0.09,0.03,0,0
Sonic Jam,0,0,0.12,0
Puella Magi Madoka Magica Portable,0,0,0.12,0
Ninja Reflex,0.11,0.01,0,0.01
Peter Jacobsen's Golden Tee Golf,0.07,0.05,0,0.01
Calling,0.07,0.04,0,0.01
Marvel Avengers: Battle for Earth,0.07,0.04,0,0.01
Disney's Atlantis: The Lost Empire,0.09,0.03,0,0
Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,0,0,0.12,0
Charm Girls Club: My Fashion Mall,0.12,0,0,0.01
Where the Wild Things Are,0.11,0,0,0.01
High Velocity: Mountain Racing Challenge,0,0,0.12,0
NHL 2K7,0.11,0,0,0.01
Resident Evil,0,0,0.12,0
Capcom vs. SNK 2: Millionaire Fighting 2001,0,0,0.12,0
Criticom,0.07,0.05,0,0.01
SCORE International Baja 1000: The Official Game,0.11,0.01,0,0.01
Disney Sing It: Party Hits,0.1,0.01,0,0.01
Sleeping Dogs,0.06,0.05,0,0.02
Mega Man X: Command Mission,0.1,0.02,0,0
Diner Dash: Sizzle & Serve,0.11,0,0,0.01
After Hours Athletes,0,0.1,0,0.03
Lego Star Wars: The Force Awakens,0.03,0.07,0,0.02
Worms 3D,0.06,0.05,0,0.02
Clock Tower: The First Fear,0,0,0.12,0.01
Kidou Senshi Gundam Seed Battle Destiny,0,0,0.12,0
Godzilla Unleashed: Double Smash,0.11,0,0,0.01
Star Trek: Conquest,0.11,0.01,0,0.01
"Kilari: Na-san, Mon Meilleur Ami",0,0,0.12,0
Strikers 1945,0.07,0.05,0,0.01
Ochaken no Heya DS,0,0,0.12,0
Obscure: The Aftermath,0.12,0,0,0.01
Galidor: Defenders of the Outer Dimension,0.09,0.03,0,0
Tom Clancy's Splinter Cell Trilogy,0,0.1,0,0.03
WRC: FIA World Rally Championship,0,0.1,0,0.02
Fire ProWrestling S: 6Men Scramble,0,0,0.12,0
Blackwater,0.09,0.02,0,0.01
Pryzm Chapter One: The Dark Unicorn,0.06,0.05,0,0.02
Gundam Battle Royale,0,0,0.12,0
Solitaire & Mahjong,0.11,0,0,0.01
Zen-Nippon Pro Wrestling: Ouja no Kon,0,0,0.12,0.01
NASCAR 2005: Chase for the Cup,0.1,0.02,0,0
Homefront: The Revolution,0.05,0.07,0,0.01
"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 12: CR Shinseiki Evangelion - Shito, Futatabi",0,0,0.12,0
Guilty Gear X,0.06,0.05,0,0.02
Deadliest Catch: Sea of Chaos,0.12,0,0,0.01
One Piece: Pirate Warriors 2,0,0,0.12,0
NHL 2002,0.09,0.03,0,0
Disney's PK: Out of the Shadows,0.06,0.05,0,0.02
Mugen no Frontier: Super Robot Taisen OG Saga EXCEED,0,0,0.12,0
Karaoke Revolution,0.12,0,0,0.01
Echo Night,0.03,0.02,0.07,0.01
Are You Smarter than a 5th Grader? Game Time,0.12,0,0,0.01
Rocket League,0.03,0.09,0,0.01
Tom Clancy's Splinter Cell: Blacklist,0.05,0.07,0,0.01
Gladiator Begins,0.05,0.01,0.05,0.01
Colony Wars III: Red Sun,0.07,0.05,0,0.01
Magic: The Gathering - Battlemage,0.07,0.05,0,0.01
The King of Fighters '94,0,0,0.12,0
DS Yamamura Misa Suspense: Maiko Kogiku - Kisha Katherine - Sougiya Isa Akashi - Koto ni Maru Hana Sanrin: Kyoto Satujin Jinken File,0,0,0.12,0
Puzzle Quest 2,0.11,0,0,0.01
All Kamen Rider: Rider Generation,0,0,0.12,0
The King of Fighters '98 Ultimate Match,0.04,0.03,0.03,0.01
Onechanbara: Bikini Zombie Slayers,0.11,0,0,0.01
Puzzle Quest: Challenge of the Warlords,0.06,0.05,0,0.02
Angry Birds Star Wars,0.05,0.04,0,0.03
Guardian's Crusade,0.07,0.05,0,0.01
Undead Knights,0.05,0.01,0.06,0.01
Final Fantasy XIV: Heavensward,0,0.05,0.06,0.01
Lemony Snicket's A Series of Unfortunate Events,0.09,0.03,0,0
MotoGP 3 - Official Game of MotoGP,0.06,0.05,0,0.02
Makai Kingdom: Chronicles of the Sacred Tome,0.06,0.05,0,0.02
The Ant Bully,0.09,0.02,0,0
M&M's Kart Racing,0.11,0,0,0.01
Bomberman Party Edition,0.07,0.05,0,0.01
Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,0,0,0.12,0
Dragon Ball Z: Battle of Z,0,0.04,0.06,0.02
Eyeshield 21: Max Devil Power,0,0,0.12,0
Summon Night 3,0,0,0.12,0
O.D.T.: Escape... Or Die Trying,0.07,0.05,0,0.01
Madden NFL 06,0.11,0,0,0.01
Escape The Museum,0.11,0.01,0,0.01
Fuse (Insomniac),0.06,0.04,0,0.02
Record of Agarest War Zero,0.09,0,0.03,0.01
Lunar: Dragon Song,0.11,0,0,0.01
Break 'Em All,0.11,0,0,0.01
WWE SmackDown vs Raw 2008,0.11,0.01,0,0.01
MotoGP 14,0.04,0.06,0,0.02
Cars 2,0.1,0.01,0,0.01
Major League Baseball 2K8 Fantasy All-Stars,0.11,0,0,0.01
Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,0,0,0.12,0
Mobile Suit Gundam Seed: Rengou vs. Z.A.F.T. Portable,0,0,0.12,0
San Goku Shi V,0,0,0.12,0
Puzzle Kingdoms,0.11,0,0,0.01
The Lord of the Rings: Aragorn's Quest,0.1,0.02,0,0.01
WRC 5: FIA World Rally Championship,0.02,0.09,0,0.02
Red Faction II,0.09,0.03,0,0
Daikaijyuu Monogatari II,0,0,0.12,0
Rock Band Track Pack Volume 2,0.06,0.05,0,0.02
Voodoo Vince,0.09,0.03,0,0
Bodycount,0.05,0.06,0,0.02
Gundam Memories: Tatakai no Kioku,0,0,0.12,0
Megamind: Ultimate Showdown,0.07,0.04,0,0.01
Kaijuu Busters,0,0,0.12,0
Neopets Petpet Adventures: The Wand of Wishing,0.11,0,0,0.01
Ferrari Challenge Trofeo Pirelli,0.06,0.05,0,0.02
Virtua Fighter CG Portrait Series Vol.4: Pai Chan,0,0,0.12,0
Chase: Hollywood Stunt Driver,0.09,0.03,0,0
The X Files: Resist or Serve,0.06,0.05,0,0.02
Mobile Suit Gundam Side Story: Missing Link,0,0,0.12,0
Saru! Get You! Million Monkeys,0,0,0.12,0
Curious George,0.06,0.05,0,0.02
Crush3D,0.07,0.04,0,0.01
Zathura,0.06,0.05,0,0.02
Lovely Lisa,0.11,0,0,0.01
Medarot DS: Kabuto / Kuwagata Ver.,0,0,0.12,0
Mountain Sports,0.11,0,0,0.01
Tenchu: Shadow Assassins,0.03,0.03,0.05,0.01
NPPL: Championship Paintball 2009,0.1,0.01,0,0.01
Lost Planet 3,0.07,0.04,0.01,0.01
Making History: The Great War,0,0,0.12,0
Shin Megami Tensei: Devil Survivor 2,0,0.03,0.09,0
The God of War Trilogy,0,0.07,0.03,0.02
Dance Paradise,0.1,0.01,0,0.01
Backyard Baseball '10,0.11,0,0,0.01
Blazblue: Continuum Shift Extend,0.03,0.05,0.02,0.02
Cel Damage,0.09,0.03,0,0
Go! Sudoku,0.11,0,0,0.01
Alice: Madness Returns,0,0.1,0,0.02
SSX 3,0.09,0.03,0,0
My Chinese Coach,0.11,0.01,0,0.01
DiRT 2,0.06,0.04,0,0.01
Yamakawa Shuppansha Kanshuu: Shousetsu Nihonshi B,0,0,0.12,0
The King of Fighters Collection: The Orochi Saga,0.11,0,0,0.01
Atelier Annie: Alchemists of Sera Island,0.08,0,0.03,0.01
Breakdown,0.09,0.03,0,0
Rush,0.11,0,0,0.01
Ecco the Dolphin,0,0,0.12,0
The Legend of Heroes: Trails of Cold Steel II,0.01,0,0.11,0
Looney Tunes: Sheep Raider,0.07,0.05,0,0.01
Yard Sale Hidden Treasures: Sunnyville,0.11,0,0,0.01
Harvest Moon 2 GBC,0,0,0.12,0
Killer is Dead,0.08,0.02,0.01,0.01
Lost in Shadow,0.1,0,0.01,0.01
Cory in the House,0.11,0,0,0.01
X2: Wolverine's Revenge,0.09,0.02,0,0
McDROID,0,0,0.12,0
Gallop Racer 2000,0,0,0.11,0.01
Showdown: Legends of Wrestling,0.09,0.03,0,0
Macross Triangle Frontier,0,0,0.12,0
Chessmaster: The Art of Learning,0.11,0,0,0.01
Petz Fantasy: Moonlight Magic,0.11,0,0,0.01
Gundam Breaker 3,0,0,0.12,0
My Farm Around the World,0.11,0,0,0.01
Fat Princess: Fistful of Cake,0.08,0.02,0,0.02
Zubo,0.09,0.03,0,0.01
Street Hoops,0.09,0.02,0,0
NFL QB Club 2001,0.11,0.01,0,0
Earthworm Jim 3D,0.1,0.02,0,0
Rocket: Robot on Wheels,0.1,0.02,0,0
Densha De Go! 64,0,0,0.05,0.07
Godzilla: Destroy All Monsters Melee,0.09,0.03,0,0
The Daring Game for Girls,0.11,0,0,0.01
Conception II: Children of the Seven Stars,0.09,0,0.03,0.01
Animal Genius,0.11,0,0,0.01
Sega Soccer Slam,0.06,0.05,0,0.02
Zenses: Rainforest,0.1,0.01,0,0.01
Dora the Explorer: Dora Saves the Mermaids,0.06,0.05,0,0.02
Grand Theft Auto: San Andreas,0.08,0.03,0,0.01
Phantasy Star Universe,0.09,0.02,0,0.01
Skate City Heroes,0.11,0,0,0.01
NASCAR Unleashed,0.11,0,0,0.01
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,0.09,0.03,0,0
College Hoops 2K6,0.11,0,0,0.01
Mytran Wars,0.08,0.02,0,0.02
MX vs. ATV Untamed,0.11,0,0,0.01
Prince of Persia: Rival Swords,0.08,0.02,0,0.02
Mahou Shoujo Lyrical Nanoha A's Portable: The Gears of Destiny,0,0,0.12,0
Gungnir: Mayari no Gunshin to Eiyuu Sensou,0.07,0,0.04,0.01
Dodge Racing: Charger vs Challenger,0.11,0,0,0.01
Fate/Extra CCC,0,0,0.12,0
Rocksmith,0.06,0.04,0,0.01
MTV Sports: Pure Ride,0.07,0.05,0,0.01
Sonic Adventure 2,0,0,0.12,0
Burning Road,0.07,0.05,0,0.01
Slayers,0,0,0.12,0
Super Robot Wars OG Saga: Masou Kishin - The Lord of Elemental,0,0,0.12,0
IndyCar Series,0.06,0.05,0,0.02
Space Chimps,0.06,0.05,0,0.02
Crash Superpack: Crash Bandicoot 2: N-Tranced / Crash Nitro Kart,0.09,0.03,0,0
Famicom Mini: TwinBee,0,0,0.12,0
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,0.11,0,0,0.01
Gladiator: Sword of Vengeance,0.06,0.05,0,0.02
nail'd,0.08,0.02,0,0.02
PixelJunk Monsters Deluxe,0.11,0,0,0.01
Tom Clancy's EndWar,0.1,0.01,0,0.01
Ultimate Card Games,0.09,0.03,0,0
Jikkyou Powerful Pro Yakyuu 8 Ketteiban,0,0,0.12,0
Rubik's World,0.1,0.01,0,0.01
Lost Magic,0.09,0,0.02,0.01
Wallace & Gromit: Curse of the Were-Rabbit,0.06,0.05,0,0.02
DreamWorks Super Star Kartz,0.08,0.03,0,0.01
Minute to Win It,0.11,0,0,0.01
The Bible Game,0.09,0.03,0,0
NFL Head Coach,0.09,0.03,0,0
Pinball Hall of Fame: The Williams Collection,0.11,0,0,0.01
Medarot 4: Kabuto / Kuwagata Version,0,0,0.12,0
Backyard Sports Football: Rookie Rush,0.11,0,0,0.01
Sacred 3,0.03,0.05,0.02,0.02
Major League Baseball 2K6,0.11,0,0,0.01
Vacation Isle: Beach Party,0.09,0.02,0,0.01
Fit in Six,0.11,0,0,0.01
Mahou Shoujo Lyrical Nanoha A's Portable: The Battle of Aces,0,0,0.12,0
"Ed, Edd n Eddy: The Mis-Edventures",0.08,0.03,0,0
Onimusha: Blade Warriors,0.06,0.05,0,0.02
Tecmo Bowl: Kickoff,0.11,0,0,0.01
Disney's Extreme Skate Adventure,0.09,0.02,0,0
Akuji the Heartless,0.07,0.04,0,0.01
NBA 2K2,0.09,0.02,0,0
7 Days to Die,0.03,0.07,0,0.02
Monster Jam: Path of Destruction,0.11,0,0,0.01
Everybody Dance,0.11,0,0,0.01
Psychonauts,0.09,0.03,0,0
Power Gig: Rise of the SixString,0.11,0,0,0.01
Deus Ex: Human Revolution,0.06,0.05,0,0.01
Jeremy McGrath Supercross World,0.09,0.02,0,0
Uta no * Prince-Sama: All Star,0,0,0.12,0
HardBall 5,0.07,0.04,0,0.01
Airborne Troops: Countdown to D-Day,0.06,0.05,0,0.02
MLB Inside Pitch 2003,0.09,0.03,0,0
ArmA III,0,0.1,0,0.02
The Walking Dead: Season Two,0.04,0.07,0,0.01
Marvel Trading Card Game,0.11,0,0,0.01
